120001,蔡小芳,F,589.5,73.6875,10,1
120002,張小瑋,F,359.5,44.9375,4,0
120003,王小雅,F,586.0,73.25,11,2
120004,黃小翔,M,634.0,79.25,14,2
120005,林小宇,F,527.0,65.875,8,1
120006,唐小棋,F,548.0,68.5,11,2
120007,張小文,F,599.0,74.875,11,2
120008,應小峰,M,584.0,73.0,10,0
120009,賀小夫,M,565.5,70.6875,10,1
120010,游小馨,F,640.5,80.0625,16,3
120011,林小煌,M,591.0,73.875,13,2
120012,孫小庭,F,578.0,72.25,11,1
120013,黃小嘉,F,566.0,70.75,12,1
120014,楊小葳,F,596.0,74.5,13,2
120015,李小秀,F,596.5,74.5625,12,2
120016,陳小柔,F,682.0,85.25,16,2
120017,林小君,F,580.0,72.5,10,1
120018,謝小婷,F,498.0,62.25,8,0
120019,郭小文,F,521.5,65.1875,9,1
120020,方小婷,F,621.0,77.625,13,3
120021,洪小寧,F,472.5,59.0625,8,0
120022,莊小郁,F,582.5,72.8125,11,1
120023,陳小政,M,516.0,64.5,8,0
120024,徐小倫,M,509.0,63.625,9,1
120025,邱小傑,M,548.5,68.5625,10,1
120026,何小運,M,513.0,64.125,8,0
120027,劉小瑩,F,451.0,56.375,7,0
120028,王小琳,F,506.5,63.3125,8,0
120029,徐小容,F,525.5,65.6875,12,2
120030,何小瑩,F,516.0,64.5,9,1
120031,黃小菁,F,632.5,79.0625,13,2
120032,陳小貞,F,481.0,60.125,7,0
120033,賴小勻,F,503.5,62.9375,10,2
120034,沈小蓁,F,406.5,50.8125,6,0
120035,朱小穎,F,577.5,72.1875,10,0
120036,蕭小佑,F,513.5,64.1875,8,0
120037,余小儒,F,500.5,62.5625,6,0
120038,呂小倫,F,536.0,67.0,10,1
120039,林小芳,F,692.5,86.5625,17,3
120040,程小雯,F,581.5,72.6875,12,2
120041,陳小霖,F,550.0,68.75,10,1
120042,林小婷,F,621.5,77.6875,13,2
120043,徐小平,F,612.5,76.5625,12,1
120044,郭小妤,F,542.0,67.75,10,0
120045,陳小妤,F,585.0,73.125,12,1
120046,羅小文,F,485.0,60.625,6,0
120047,陳小鳴,M,553.5,69.1875,10,1
120048,黃小庭,F,501.0,62.625,7,0
120049,蔡小芹,F,634.5,79.3125,14,3
120050,丁小馨,F,553.0,69.125,10,1
120051,黃小斌,M,536.5,67.0625,11,1
120052,廖小文,M,485.0,60.625,8,1
120053,張小娟,F,550.0,68.75,11,2
120054,周小儒,F,442.0,55.25,7,0
120055,張小葳,F,565.5,70.6875,10,1
120056,何小華,M,634.5,79.3125,15,3
120057,陳小好,F,589.0,73.625,13,2
120058,張小鈴,F,601.0,75.125,12,1
120059,林小瑩,F,558.0,69.75,11,0
120060,葉小盈,F,620.0,77.5,12,1
120061,李小雯,F,680.5,85.0625,16,3
120062,蔡小文,F,588.5,73.5625,12,2
120063,賴小戎,F,625.0,78.125,14,2
120064,賴小彤,F,647.0,80.875,14,2
120065,吳小唐,F,681.5,85.1875,16,3
120066,張小琪,F,622.0,77.75,15,2
120067,王小葦,F,541.5,67.6875,10,0
120068,徐小穎,F,594.0,74.25,11,1
120069,王小蕾,F,644.5,80.5625,14,2
120070,廖小君,F,593.5,74.1875,11,1
120071,湯小萍,F,651.5,81.4375,14,2
120072,黃小倫,M,613.5,76.6875,13,1
120073,林小萱,F,600.5,75.0625,11,2
120074,林小穎,F,580.0,72.5,11,1
120075,范小銘,M,504.0,63.0,9,0
120076,黃小婕,F,576.0,72.0,14,2
120077,施小吟,F,739.0,92.375,19,4
120078,劉小萱,F,622.0,77.75,13,1
120079,謝小峮,F,465.0,58.125,7,0
120080,許小皓,M,492.0,61.5,8,1
120081,許小鴻,M,650.0,81.25,13,2
120082,陳小儀,F,651.5,81.4375,16,3
120083,張小瑋,M,549.5,68.6875,10,2
120084,鄭小倢,F,571.0,71.375,11,1
120085,李小芳,F,655.0,81.875,15,2
120086,宋小萱,F,595.5,74.4375,12,2
120087,李小謀,M,593.5,74.1875,12,2
120088,許小晶,F,588.5,73.5625,12,1
120089,許小嫣,F,593.0,74.125,10,1
120090,陳小樺,F,558.0,69.75,11,1
120091,阮小凱,M,540.0,67.5,10,0
120092,陳小君,F,526.0,65.75,9,1
120093,王小月,F,460.5,57.5625,7,0
120094,曾小樺,F,567.0,70.875,11,1
120095,聞小雯,F,472.0,59.0,5,0
120096,謝小伶,F,694.0,86.75,17,3
120097,王小捷,F,521.5,65.1875,9,1
120098,陳小穎,F,580.5,72.5625,12,2
120099,蔡小庭,F,513.0,64.125,8,0
120100,蕭小安,F,501.0,62.625,10,1
120101,劉小瑄,F,596.0,74.5,11,2
120102,黃小可,F,649.5,81.1875,15,2
120103,柯小文,F,610.0,76.25,13,1
120104,陳小柔,F,643.5,80.4375,13,1
120105,許小翎,F,620.5,77.5625,13,2
120106,馬小鴻,M,592.0,74.0,13,2
120107,陳小如,F,588.0,73.5,12,1
120108,施小妤,F,564.5,70.5625,11,1
120109,黃小晴,F,549.0,68.625,11,1
120110,林小鋒,M,588.5,73.5625,12,2
120111,陳小雅,F,607.5,75.9375,13,2
120112,王小博,M,553.0,69.125,11,1
120113,曾小雯,F,546.5,68.3125,10,0
120114,張小瑋,F,695.0,86.875,16,3
120115,鄭小俐,F,577.0,72.125,10,1
120116,沈小綺,F,740.0,92.5,19,4
120117,高小盈,F,616.5,77.0625,12,1
120118,蕭小雯,F,479.5,59.9375,6,0
120119,許小邦,M,499.5,62.4375,8,0
120120,戴小潔,F,637.0,79.625,14,3
120121,章小云,F,460.5,57.5625,8,1
120122,王小吟,F,560.0,70.0,11,2
120123,吳小儀,F,471.5,58.9375,8,0
120124,張小絜,F,601.0,75.125,13,1
120125,陳小陵,F,475.0,59.375,6,0
120126,管小婷,F,615.0,76.875,13,2
120127,周小穎,F,614.0,76.75,13,1
120128,陳小君,F,620.5,77.5625,12,1
120129,趙小風,F,470.0,58.75,7,0
120130,劉小廷,M,620.5,77.5625,14,3
120131,莊小涵,F,562.0,70.25,11,1
120132,鄭小珍,F,483.0,60.375,8,0
120133,徐小明,M,553.5,69.1875,11,2
120134,鄭小薪,F,479.0,59.875,9,0
120135,王小柔,F,588.5,73.5625,11,1
120136,高小嫻,F,688.0,86.0,17,3
120137,阮小維,M,589.5,73.6875,12,1
120138,洪小昊,M,436.5,54.5625,8,1
120139,陳小臻,F,695.5,86.9375,17,3
120140,黃小豪,M,527.0,65.875,9,0
120141,王小豪,M,456.5,57.0625,5,0
120142,唐小華,F,534.0,66.75,9,1
120143,吳小潔,F,440.5,55.0625,9,1
120144,蘇小清,F,535.0,66.875,10,1
120145,許小柔,F,503.0,62.875,8,0
120146,林小翔,M,553.5,69.1875,11,2
120147,王小瑄,F,668.0,83.5,16,2
120148,邱小均,F,568.0,71.0,11,1
120149,林小蓁,F,633.5,79.1875,14,2
120150,林小菁,F,614.5,76.8125,13,2
120151,劉小豪,M,560.0,70.0,11,1
120152,蔡小芸,F,540.5,67.5625,10,1
120153,郭小萱,F,591.5,73.9375,11,1
120154,廖小駿,M,653.5,81.6875,16,3
120155,王小卉,F,594.0,74.25,12,2
120156,孫小玟,F,532.0,66.5,9,0
120157,陳小均,F,613.5,76.6875,13,2
120158,呂小騏,F,600.5,75.0625,12,2
120159,林小駿,M,558.0,69.75,13,2
120160,莊小瑾,F,599.0,74.875,13,2
120161,曾小婷,F,512.0,64.0,8,0
120162,鍾小正,M,580.0,72.5,11,1
120163,何小穎,F,442.0,55.25,5,0
120164,洪小亭,F,574.0,71.75,10,1
120165,王小卉,F,542.0,67.75,10,2
120166,蔡小臻,F,552.5,69.0625,10,0
120167,江小緯,M,475.5,59.4375,9,1
120168,賴小威,M,544.0,68.0,9,0
120169,張小倫,M,546.5,68.3125,10,1
120170,雲小邗,F,404.0,50.5,5,0
120171,葉小震,M,572.5,71.5625,11,0
120172,蘇小睿,F,650.0,81.25,15,2
