120001,蔡小芳,F,69,76,58,85,797.0,73.6875,10
120002,張小瑋,F,50,42,47,42,498.5,44.9375,4
120003,王小雅,F,84,86,59,63,803.5,73.25,11
120004,黃小翔,M,76,80,78,82,869.0,79.25,14
120005,林小宇,F,58,87,68,54,723.5,65.875,8
120006,唐小棋,F,89,59,98,42,785.5,68.5,11
120007,張小文,F,57,81,67,89,808.0,74.875,11
120008,應小峰,M,68,68,78,78,803.0,73.0,10
120009,賀小夫,M,63,93,59,66,767.0,70.6875,10
120010,游小馨,F,81,91,91,64,890.0,80.0625,16
120011,林小煌,M,77,98,89,43,827.5,73.875,13
120012,孫小庭,F,98,76,45,65,791.5,72.25,11
120013,黃小嘉,F,70,91,61,61,773.0,70.75,12
120014,楊小葳,F,87,73,84,60,833.5,74.5,13
120015,李小秀,F,55,81,78,83,811.5,74.5625,12
120016,陳小柔,F,100,94,76,72,941.0,85.25,16
120017,林小君,F,65,67,64,88,786.5,72.5,10
120018,謝小婷,F,71,68,65,49,692.5,62.25,8
120019,郭小文,F,61,56,80,67,724.0,65.1875,9
120020,方小婷,F,86,80,56,82,844.0,77.625,13
120021,洪小寧,F,73,51,33,70,639.0,59.0625,8
120022,莊小郁,F,71,82,56,77,789.0,72.8125,11
120023,陳小政,M,54,63,73,69,709.0,64.5,8
120024,徐小倫,M,51,77,82,52,706.5,63.625,9
120025,邱小傑,M,82,48,79,68,767.5,68.5625,10
120026,何小運,M,76,61,56,62,706.5,64.125,8
120027,劉小瑩,F,75,67,38,44,619.5,56.375,7
120028,王小琳,F,55,44,79,76,700.5,63.3125,8
120029,徐小容,F,63,90,83,38,735.5,65.6875,12
120030,何小瑩,F,96,44,54,62,719.0,64.5,9
120031,黃小菁,F,84,67,77,86,870.0,79.0625,13
120032,陳小貞,F,69,60,62,52,668.0,60.125,7
120033,賴小勻,F,80,84,47,42,693.5,62.9375,10
120034,沈小蓁,F,47,41,72,49,570.5,50.8125,6
120035,朱小穎,F,72,76,56,79,783.0,72.1875,10
120036,蕭小佑,F,63,61,67,66,707.0,64.1875,8
